wavelength_nm,intensity_counts
1.776279000000000110e+02,-3.536363636363636687e+01
1.780081519393773419e+02,-3.771212121212121815e+01
1.783883797441787351e+02,-6.378787878787879784e+00
1.787685833944081821e+02,-4.712121212121213709e+00
1.791487628700697599e+02,-2.712121212121213265e+00
1.795289181511674883e+02,-1.378787878787880006e+00
1.799090492177054443e+02,-1.045454545454546746e+00
1.802891560496876480e+02,-1.378787878787880006e+00
1.806692386271180908e+02,-3.787878787878801168e-01
1.810492969300008781e+02,9.545454545454532536e-01
1.814293309383400299e+02,2.621212121212119772e+00
1.818093406321395662e+02,2.621212121212119772e+00
1.821893259914035070e+02,1.621212121212119994e+00
1.825692869961359861e+02,6.212121212121198832e-01
1.829492236263409666e+02,6.212121212121198832e-01
1.833291358620224969e+02,9.545454545454532536e-01
1.837090236831846539e+02,2.878787878787866239e-01
1.840888870698314008e+02,-3.787878787878800613e-01
1.844687260019668713e+02,-3.787878787878800613e-01
1.848485404595950854e+02,9.545454545454532536e-01
1.852283304227200063e+02,1.954545454545453254e+00
1.856080958713457392e+02,1.954545454545453032e+00
1.859878367854763042e+02,1.954545454545453254e+00
1.863675531451157781e+02,1.287878787878786513e+00
1.867472449302681810e+02,6.212121212121199942e-01
1.871269121209375044e+02,-3.787878787878800613e-01
1.875065546971278536e+02,-7.121212121212133761e-01
1.878861726388432203e+02,-7.121212121212133761e-01
1.882657659260877097e+02,-3.787878787878800613e-01
1.886453345388652849e+02,-7.121212121212133761e-01
1.890248784571799945e+02,-1.045454545454546746e+00
1.894043976610359437e+02,-1.712121212121213265e+00
1.897838921304371240e+02,-2.045454545454546746e+00
1.901633618453875840e+02,-1.378787878787880006e+00
1.905428067858913721e+02,-7.121212121212133761e-01
1.909222269319525083e+02,-4.545454545454674644e-02
1.913016222635750410e+02,2.878787878787865684e-01
1.916809927607630470e+02,-4.545454545454674644e-02
1.920603384035204897e+02,2.878787878787865684e-01
1.924396591718514742e+02,-4.545454545454674644e-02
1.928189550457599921e+02,-4.545454545454674644e-02
1.931982260052501488e+02,6.212121212121198832e-01
1.935774720303259357e+02,1.621212121212119772e+00
1.939566931009913731e+02,1.954545454545453254e+00
1.943358891972505944e+02,6.212121212121199942e-01
1.947150602991075345e+02,-7.121212121212133761e-01
1.950942063865662419e+02,-3.787878787878800613e-01
1.954733274396308502e+02,1.621212121212119772e+00
1.958524234383052658e+02,2.621212121212119772e+00
1.962314943625936792e+02,2.287878787878786291e+00
1.966105401925000251e+02,6.212121212121198832e-01
1.969895609080283521e+02,2.878787878787865684e-01
1.973685564891827369e+02,-4.545454545454674644e-02
1.977475269159671711e+02,2.878787878787865684e-01
1.981264721683857886e+02,2.878787878787865684e-01
1.985053922264425239e+02,6.212121212121198832e-01
1.988842870701414540e+02,6.212121212121198832e-01
1.992631566794866274e+02,-4.545454545454674644e-02
1.996420010344820923e+02,-3.787878787878800613e-01
2.000208201151318690e+02,-1.045454545454546746e+00
2.003996139014400057e+02,-4.545454545454674644e-02
2.007783823734105226e+02,1.287878787878786513e+00
2.011571255110475249e+02,2.621212121212119772e+00
2.015358432943550042e+02,2.621212121212119772e+00
2.019145357033369805e+02,1.954545454545453254e+00
2.022932027179975307e+02,1.287878787878786513e+00
2.026718443183406464e+02,1.287878787878786513e+00
2.030504604843704328e+02,1.621212121212119994e+00
2.034290511960909100e+02,1.287878787878786513e+00
2.038076164335060696e+02,9.545454545454532536e-01
2.041861561766200168e+02,2.878787878787865684e-01
2.045646704054367433e+02,1.287878787878786513e+00
2.049431590999603543e+02,1.954545454545453254e+00
2.053216222401948130e+02,2.954545454545453254e+00
2.057000598061441679e+02,2.954545454545453254e+00
2.060784717778125241e+02,2.287878787878786735e+00
2.064568581352038450e+02,2.287878787878786291e+00
2.068352188583222357e+02,1.954545454545453254e+00
2.072135539271717164e+02,1.954545454545453254e+00
2.075918633217562501e+02,1.954545454545453254e+00
2.079701470220799990e+02,2.621212121212119772e+00
2.083484050081469547e+02,2.287878787878786735e+00
2.087266372599611088e+02,1.287878787878786513e+00
2.091048437575265950e+02,1.287878787878786513e+00
2.094830244808473765e+02,2.621212121212119772e+00
2.098611794099275016e+02,3.954545454545453254e+00
2.102393085247710474e+02,3.621212121212119772e+00
2.106174118053820337e+02,3.287878787878786291e+00
2.109954892317645090e+02,2.621212121212119772e+00
2.113735407839224649e+02,1.621212121212119994e+00
2.117515664418600068e+02,1.954545454545453254e+00
2.121295661855811829e+02,2.954545454545453254e+00
2.125075399950899282e+02,4.287878787878786291e+00
2.128854878503903763e+02,3.621212121212119772e+00
2.132634097314865471e+02,3.287878787878786735e+00
2.136413056183825177e+02,2.954545454545453254e+00
2.140191754910822510e+02,3.621212121212119772e+00
2.143970193295898241e+02,2.621212121212120216e+00
2.147748371139093138e+02,1.621212121212119772e+00
2.151526288240446831e+02,2.878787878787865684e-01
2.155303944399999807e+02,2.878787878787865684e-01
2.159081339417793401e+02,1.287878787878786513e+00
2.162858473093867246e+02,1.954545454545453254e+00
2.166635345228261826e+02,3.954545454545453254e+00
2.170411955621017626e+02,4.287878787878786291e+00
2.174188304072175129e+02,4.954545454545453254e+00
2.177964390381774535e+02,4.621212121212119328e+00
2.181740214349856331e+02,4.954545454545453254e+00
2.185515775776460714e+02,5.287878787878786291e+00
2.189291074461628739e+02,4.954545454545453254e+00
2.193066110205400037e+02,4.954545454545453254e+00
2.196840882807815660e+02,4.621212121212119328e+00
2.200615392068914957e+02,3.621212121212119772e+00
2.204389637788739833e+02,3.621212121212119772e+00
2.208163619767329919e+02,4.287878787878786291e+00
2.211937337804724848e+02,5.287878787878786291e+00
2.215710791700966524e+02,4.621212121212119328e+00
2.219483981256094580e+02,2.954545454545453254e+00
2.223256906270148932e+02,2.621212121212119772e+00
2.227029566543170631e+02,2.954545454545453254e+00
2.230801961875199879e+02,4.287878787878786291e+00
2.234574092066277444e+02,4.621212121212120216e+00
2.238345956916443527e+02,4.621212121212119328e+00
2.242117556225737758e+02,3.954545454545453254e+00
2.245888889794201759e+02,3.621212121212119772e+00
2.249659957421874878e+02,4.287878787878786291e+00
2.253430758908798452e+02,4.287878787878786291e+00
2.257201294055012397e+02,4.287878787878786291e+00
2.260971562660556629e+02,3.287878787878786735e+00
2.264741564525472768e+02,2.954545454545452809e+00
2.268511299449799878e+02,1.954545454545453254e+00
2.272280767233579297e+02,1.287878787878786513e+00
2.276049967676851509e+02,9.545454545454532536e-01
2.279818900579655860e+02,1.621212121212119772e+00
2.283587565742033973e+02,2.287878787878786291e+00
2.287355962964025196e+02,2.621212121212119772e+00
2.291124092045670295e+02,2.621212121212119772e+00
2.294891952787010609e+02,2.621212121212119772e+00
2.298659544988084633e+02,2.954545454545453254e+00
2.302426868448934556e+02,3.621212121212119772e+00
2.306193922969600294e+02,3.954545454545453254e+00
2.309960708350121479e+02,3.954545454545453254e+00
2.313727224390539448e+02,3.954545454545452809e+00
2.317493470890893548e+02,4.954545454545453254e+00
2.321259447651225685e+02,4.954545454545452365e+00
2.325025154471575206e+02,3.287878787878786291e+00
2.328790591151982312e+02,2.287878787878786735e+00
2.332555757492488340e+02,2.621212121212119772e+00
2.336320653293132636e+02,3.954545454545453254e+00
2.340085278353956824e+02,4.287878787878786291e+00
2.343849632475000249e+02,4.287878787878786291e+00
2.347613715456303396e+02,4.287878787878786291e+00
2.351377527097907318e+02,3.954545454545453254e+00
2.355141067199851932e+02,3.621212121212119772e+00
2.358904335562177721e+02,4.287878787878786291e+00
2.362667331984925170e+02,4.954545454545453254e+00
2.366430056268134194e+02,5.621212121212120216e+00
2.370192508211846416e+02,5.621212121212119328e+00
2.373954687616100898e+02,4.621212121212119328e+00
2.377716594280938409e+02,4.621212121212120216e+00
2.381478228006400002e+02,4.621212121212119328e+00
2.385239588592525308e+02,5.621212121212119328e+00
2.389000675839355381e+02,4.954545454545453254e+00
2.392761489546929852e+02,3.621212121212119772e+00
2.396522029515289773e+02,2.621212121212119772e+00
2.400282295544475062e+02,2.287878787878786291e+00
2.404042287434526202e+02,1.287878787878786735e+00
2.407802004985484245e+02,1.287878787878786513e+00
2.411561447997389109e+02,2.287878787878786291e+00
2.415320616270280709e+02,3.954545454545453254e+00
2.419079509604200098e+02,3.621212121212119772e+00
2.422838127799187475e+02,2.954545454545453254e+00
2.426596470655283042e+02,3.621212121212119772e+00
2.430354537972527851e+02,4.954545454545453254e+00
2.434112329550961533e+02,5.621212121212120216e+00
2.437869845190625142e+02,5.287878787878786291e+00
2.441627084691558593e+02,4.954545454545453254e+00
2.445384047853802372e+02,4.621212121212119328e+00
2.449140734477396961e+02,3.954545454545453254e+00
2.452897144362382562e+02,3.954545454545452809e+00
2.456653277308799943e+02,3.954545454545453254e+00
2.460409133116689588e+02,4.287878787878786291e+00
2.464164711586091130e+02,4.621212121212119328e+00
2.467920012517045905e+02,4.954545454545453254e+00
2.471675035709593544e+02,4.621212121212119328e+00
2.475429780963774817e+02,4.287878787878786291e+00
2.479184248079630777e+02,3.621212121212119772e+00
2.482938436857200202e+02,3.621212121212119772e+00
2.486692347096524998e+02,3.287878787878786735e+00
2.490445978597644796e+02,3.621212121212120216e+00
2.494199331160599797e+02,4.287878787878786291e+00
2.497952404585431339e+02,4.621212121212120216e+00
2.501705198672179336e+02,4.954545454545453254e+00
2.505457713220883988e+02,4.954545454545453254e+00
2.509209948031585782e+02,4.954545454545453254e+00
2.512961902904324916e+02,4.954545454545453254e+00
2.516713577639142727e+02,3.954545454545452809e+00
2.520464972036078279e+02,3.954545454545452809e+00
2.524216085895172910e+02,4.287878787878786291e+00
2.527966919016466818e+02,5.621212121212119328e+00
2.531717471199999920e+02,5.287878787878786291e+00
2.535467742245813554e+02,4.287878787878786291e+00
2.539217731953947350e+02,3.954545454545452809e+00
