wavelength_nm,intensity_counts
2.091048437575265950e+02,4.924242424242426530e+00
2.094830244808473765e+02,6.257575757575759567e+00
2.098611794099275016e+02,7.590909090909093493e+00
2.102393085247710474e+02,7.257575757575760456e+00
2.106174118053820337e+02,6.590909090909093493e+00
2.109954892317645090e+02,6.590909090909093493e+00
2.113735407839224649e+02,6.924242424242426530e+00
2.117515664418600068e+02,6.924242424242426530e+00
2.121295661855811829e+02,6.590909090909093493e+00
2.125075399950899282e+02,5.924242424242426530e+00
2.128854878503903763e+02,6.257575757575760456e+00
2.132634097314865471e+02,6.257575757575760456e+00
2.136413056183825177e+02,5.924242424242426530e+00
2.140191754910822510e+02,5.257575757575759567e+00
2.143970193295898241e+02,4.924242424242426530e+00
2.147748371139093138e+02,5.257575757575759567e+00
2.151526288240446831e+02,5.257575757575759567e+00
2.155303944399999807e+02,4.590909090909093493e+00
2.159081339417793401e+02,4.257575757575759567e+00
2.162858473093867246e+02,4.924242424242426530e+00
2.166635345228261826e+02,6.257575757575759567e+00
2.170411955621017626e+02,6.924242424242426530e+00
2.174188304072175129e+02,6.924242424242427418e+00
2.177964390381774535e+02,6.590909090909093493e+00
2.181740214349856331e+02,6.924242424242426530e+00
2.185515775776460714e+02,7.257575757575759567e+00
2.189291074461628739e+02,7.590909090909093493e+00
2.193066110205400037e+02,7.590909090909093493e+00
2.196840882807815660e+02,7.590909090909093493e+00
2.200615392068914957e+02,7.257575757575760456e+00
2.204389637788739833e+02,6.590909090909093493e+00
2.208163619767329919e+02,5.590909090909093493e+00
2.211937337804724848e+02,5.257575757575759567e+00
2.215710791700966524e+02,5.590909090909093493e+00
2.219483981256094580e+02,6.257575757575760456e+00
2.223256906270148932e+02,6.590909090909093493e+00
2.227029566543170631e+02,6.924242424242426530e+00
2.230801961875199879e+02,7.257575757575759567e+00
2.234574092066277444e+02,7.257575757575760456e+00
2.238345956916443527e+02,6.590909090909093493e+00
2.242117556225737758e+02,6.257575757575760456e+00
2.245888889794201759e+02,5.924242424242426530e+00
2.249659957421874878e+02,5.924242424242426530e+00
2.253430758908798452e+02,5.924242424242426530e+00
2.257201294055012397e+02,6.257575757575760456e+00
2.260971562660556629e+02,6.590909090909093493e+00
2.264741564525472768e+02,6.590909090909093493e+00
2.268511299449799878e+02,6.590909090909093493e+00
2.272280767233579297e+02,6.257575757575759567e+00
2.276049967676851509e+02,6.257575757575760456e+00
2.279818900579655860e+02,6.590909090909093493e+00
2.283587565742033973e+02,6.924242424242426530e+00
2.287355962964025196e+02,6.924242424242427418e+00
2.291124092045670295e+02,6.590909090909093493e+00
2.294891952787010609e+02,6.590909090909093493e+00
2.298659544988084633e+02,7.257575757575759567e+00
2.302426868448934556e+02,8.590909090909093493e+00
2.306193922969600294e+02,9.257575757575759567e+00
2.309960708350121479e+02,8.924242424242425642e+00
2.313727224390539448e+02,8.257575757575759567e+00
2.317493470890893548e+02,7.590909090909093493e+00
2.321259447651225685e+02,7.257575757575760456e+00
2.325025154471575206e+02,6.924242424242426530e+00
2.328790591151982312e+02,6.924242424242426530e+00
2.332555757492488340e+02,6.590909090909093493e+00
2.336320653293132636e+02,5.924242424242426530e+00
2.340085278353956824e+02,5.924242424242426530e+00
2.343849632475000249e+02,6.257575757575760456e+00
2.347613715456303396e+02,6.590909090909093493e+00
2.351377527097907318e+02,7.590909090909092605e+00
2.355141067199851932e+02,8.590909090909093493e+00
2.358904335562177721e+02,8.590909090909093493e+00
2.362667331984925170e+02,7.924242424242426530e+00
2.366430056268134194e+02,7.590909090909092605e+00
2.370192508211846416e+02,7.924242424242426530e+00
2.373954687616100898e+02,8.257575757575759567e+00
2.377716594280938409e+02,8.257575757575759567e+00
2.381478228006400002e+02,7.924242424242426530e+00
2.385239588592525308e+02,7.590909090909093493e+00
2.389000675839355381e+02,6.924242424242426530e+00
2.392761489546929852e+02,6.924242424242427418e+00
2.396522029515289773e+02,7.590909090909092605e+00
2.400282295544475062e+02,8.924242424242425642e+00
2.404042287434526202e+02,9.590909090909093493e+00
2.407802004985484245e+02,9.257575757575759567e+00
2.411561447997389109e+02,8.257575757575759567e+00
2.415320616270280709e+02,7.590909090909093493e+00
